x,y,yaw
2.8277,2.6681,2.50897
2.7882,2.6988,2.45390
2.7505,2.7316,2.39574
2.7148,2.7666,2.33422
2.6815,2.8038,2.26897
2.6507,2.8432,2.19957
2.6228,2.8847,2.12555
2.5981,2.9281,2.04588
2.5772,2.9735,1.96110
2.5601,3.0205,1.88002
2.5467,3.0686,1.80128
2.5372,3.1177,1.72470
2.5314,3.1673,1.65007
2.5293,3.2173,1.57707
2.5308,3.2672,1.50532
2.5358,3.3170,1.43431
2.5443,3.3662,1.36352
2.5564,3.4147,1.29213
2.5719,3.4622,1.21795
2.5910,3.5084,1.13833
2.6138,3.5529,1.05714
2.6400,3.5954,0.98240
2.6691,3.6361,0.91720
2.7006,3.6748,0.85767
2.7344,3.7117,0.80236
2.7700,3.7467,0.75039
2.8074,3.7799,0.70132
2.8464,3.8112,0.65482
2.8867,3.8408,0.61061
2.9282,3.8686,0.56851
2.9709,3.8946,0.52837
3.0146,3.9190,0.49006
3.0591,3.9417,0.45346
3.1044,3.9628,0.41850
3.1504,3.9824,0.38512
3.1970,4.0004,0.35323
3.2442,4.0170,0.32280
3.2918,4.0321,0.29378
3.3399,4.0459,0.26614
3.3883,4.0584,0.23983
3.4370,4.0697,0.21486
3.4859,4.0798,0.19120
3.5351,4.0887,0.16883
3.5845,4.0966,0.14775
3.6340,4.1035,0.12794
3.6836,4.1094,0.10941
3.7334,4.1144,0.09215
3.7832,4.1186,0.07616
3.8331,4.1220,0.06144
3.8830,4.1247,0.04799
3.9329,4.1268,0.03581
3.9829,4.1283,0.02490
4.0329,4.1293,0.01526
4.0829,4.1299,0.00691
4.1329,4.1301,-0.00017
4.1828,4.1299,-0.00595
4.2328,4.1295,-0.01041
4.2828,4.1289,-0.01354
4.3328,4.1282,-0.01540
4.3828,4.1273,-0.01742
4.4328,4.1264,-0.01936
4.4828,4.1254,-0.02126
4.5327,4.1243,-0.02313
4.5827,4.1231,-0.02496
4.6327,4.1218,-0.02676
4.6826,4.1204,-0.02852
4.7326,4.1189,-0.03025
4.7826,4.1174,-0.03194
4.8325,4.1158,-0.03359
4.8825,4.1140,-0.03521
4.9325,4.1122,-0.03679
4.9824,4.1104,-0.03833
5.0324,4.1084,-0.03985
5.0823,4.1064,-0.04133
5.1323,4.1043,-0.04277
5.1822,4.1021,-0.04418
5.2322,4.0999,-0.04555
5.2821,4.0975,-0.04689
5.3320,4.0952,-0.04819
5.3820,4.0927,-0.04946
5.4319,4.0902,-0.05069
5.4818,4.0877,-0.05189
5.5317,4.0850,-0.05306
5.5817,4.0824,-0.05418
5.6316,4.0796,-0.05527
5.6815,4.0768,-0.05633
5.7314,4.0740,-0.05735
5.7813,4.0711,-0.05835
5.8312,4.0682,-0.05930
5.8811,4.0652,-0.06021
5.9310,4.0622,-0.06110
5.9809,4.0591,-0.06195
6.0308,4.0560,-0.06276
6.0807,4.0528,-0.06354
6.1306,4.0496,-0.06429
6.1805,4.0464,-0.06501
6.2303,4.0431,-0.06564
6.2802,4.0398,-0.06662
6.3301,4.0365,-0.06591
6.3800,4.0332,-0.06813
6.4298,4.0297,-0.07108
6.4797,4.0260,-0.07560
6.5295,4.0221,-0.08175
6.5793,4.0179,-0.08943
6.6291,4.0132,-0.09777
6.6789,4.0081,-0.10659
6.7285,4.0025,-0.11578
6.7782,3.9965,-0.12482
6.8277,3.9901,-0.13329
6.8773,3.9833,-0.14116
6.9267,3.9760,-0.14839
6.9761,3.9685,-0.15497
7.0255,3.9606,-0.16092
7.0748,3.9525,-0.16619
7.1241,3.9441,-0.17080
7.1734,3.9355,-0.17476
7.2226,3.9267,-0.17803
7.2718,3.9178,-0.18061
7.3209,3.9088,-0.18252
7.3701,3.8997,-0.18372
7.4192,3.8905,-0.18421
7.4684,3.8814,-0.18398
7.5175,3.8722,-0.18299
7.5667,3.8632,-0.18125
7.6159,3.8542,-0.17865
7.6651,3.8454,-0.17521
7.7143,3.8368,-0.17079
7.7636,3.8285,-0.16540
7.8129,3.8204,-0.15888
7.8623,3.8127,-0.15126
7.9118,3.8053,-0.14241
7.9613,3.7985,-0.13231
8.0109,3.7922,-0.12100
8.0606,3.7864,-0.10780
8.1103,3.7814,-0.09262
8.1601,3.7772,-0.07546
8.2100,3.7739,-0.05629
8.2599,3.7716,-0.03517
8.3099,3.7705,-0.01213
8.3599,3.7705,0.01281
8.4099,3.7718,0.03961
8.4598,3.7745,0.06828
8.5096,3.7786,0.09876
8.5593,3.7843,0.13105
8.6087,3.7917,0.16514
8.6578,3.8008,0.20100
8.7066,3.8117,0.23863
8.7550,3.8245,0.27803
8.8027,3.8392,0.31920
8.8499,3.8558,0.36215
8.8962,3.8746,0.40689
8.9416,3.8954,0.45346
8.9860,3.9184,0.50189
9.0292,3.9435,0.55224
9.0711,3.9709,0.60459
9.1114,4.0004,0.65898
9.1501,4.0321,0.71564
9.1868,4.0660,0.77427
9.2215,4.1020,0.83594
9.2538,4.1401,0.89946
9.2837,4.1802,0.96066
9.3111,4.2220,1.02016
9.3360,4.2653,1.07790
9.3584,4.3100,1.13422
9.3782,4.3559,1.18928
9.3956,4.4027,1.24331
9.4104,4.4505,1.29647
9.4227,4.4989,1.34892
9.4324,4.5480,1.40083
9.4396,4.5974,1.45234
9.4442,4.6472,1.50360
9.4463,4.6972,1.55476
9.4458,4.7471,1.60595
9.4428,4.7970,1.65733
9.4372,4.8467,1.70904
9.4290,4.8960,1.76122
9.4183,4.9448,1.81405
9.4049,4.9930,1.86767
9.3890,5.0404,1.92228
9.3705,5.0868,1.97806
9.3494,5.1321,2.03523
9.3257,5.1761,2.09405
9.2994,5.2187,2.15478
9.2706,5.2595,2.21769
9.2392,5.2984,2.28339
9.2052,5.3350,2.35109
9.1689,5.3694,2.41537
9.1306,5.4014,2.47720
9.0903,5.4311,2.53664
9.0484,5.4583,2.59380
9.0050,5.4831,2.64881
8.9604,5.5056,2.70173
8.9146,5.5257,2.75264
8.8679,5.5435,2.80154
8.8204,5.5591,2.84847
8.7722,5.5724,2.89343
8.7235,5.5837,2.93640
8.6744,5.5928,2.97734
8.6249,5.6000,3.01623
8.5752,5.6054,3.05301
8.5254,5.6089,3.08763
8.4754,5.6108,3.12005
8.4254,5.6111,-3.13298
8.3754,5.6100,-3.10513
8.3255,5.6075,-3.07965
8.2757,5.6038,-3.05658
8.2259,5.5991,-3.03594
8.1762,5.5933,-3.01781
8.1267,5.5867,-3.00220
8.0772,5.5795,-2.98883
8.0279,5.5716,-2.97778
7.9786,5.5632,-2.96843
7.9294,5.5544,-2.96079
7.8802,5.5452,-2.95486
7.8311,5.5358,-2.95054
7.7821,5.5263,-2.94788
7.7330,5.5166,-2.94678
7.6840,5.5069,-2.94698
7.6349,5.4973,-2.94855
7.5858,5.4878,-2.95148
7.5367,5.4784,-2.95579
7.4876,5.4693,-2.96131
7.4384,5.4605,-2.96811
7.3891,5.4521,-2.97616
7.3397,5.4441,-2.98547
7.2903,5.4366,-2.99600
7.2408,5.4296,-3.00787
7.1912,5.4232,-3.02014
7.1416,5.4175,-3.03289
7.0918,5.4124,-3.04567
7.0421,5.4079,-3.05827
6.9922,5.4041,-3.07114
6.9423,5.4007,-3.07694
6.8924,5.3977,-3.08552
6.8425,5.3950,-3.08830
6.7926,5.3924,-3.09115
6.7427,5.3899,-3.09332
6.6927,5.3876,-3.09502
6.6428,5.3853,-3.09619
6.5928,5.3830,-3.09684
6.5429,5.3808,-3.09699
6.4930,5.3786,-3.09665
6.4430,5.3763,-3.09580
6.3931,5.3740,-3.09446
6.3432,5.3716,-3.09263
6.2932,5.3691,-3.09031
6.2433,5.3664,-3.08751
6.1934,5.3637,-3.08421
6.1435,5.3607,-3.08043
6.0936,5.3575,-3.07617
6.0437,5.3542,-3.07142
5.9939,5.3505,-3.06618
5.9440,5.3466,-3.06043
5.8942,5.3424,-3.05420
5.8444,5.3379,-3.04747
5.7947,5.3330,-3.04025
5.7450,5.3278,-3.03254
5.6953,5.3221,-3.02434
5.6457,5.3161,-3.01567
5.5961,5.3096,-3.00650
5.5466,5.3026,-2.99684
5.4972,5.2951,-2.98669
5.4478,5.2872,-2.97604
5.3986,5.2786,-2.96489
5.3494,5.2696,-2.95327
5.3004,5.2599,-2.94123
5.2514,5.2497,-2.92888
5.2026,5.2388,-2.91643
5.1540,5.2273,-2.90404
5.1054,5.2153,-2.89460
5.0570,5.2030,-2.88835
5.0086,5.1903,-2.88519
4.9603,5.1776,-2.88511
4.9119,5.1650,-2.88793
4.8635,5.1526,-2.89373
4.8150,5.1405,-2.90082
4.7664,5.1288,-2.90874
4.7177,5.1175,-2.91756
4.6689,5.1066,-2.92724
4.6200,5.0962,-2.93780
4.5710,5.0864,-2.94924
4.5219,5.0771,-2.96153
4.4726,5.0685,-2.97469
4.4233,5.0605,-2.98873
4.3738,5.0533,-3.00367
4.3243,5.0468,-3.01952
4.2746,5.0411,-3.03628
4.2248,5.0363,-3.05397
4.1750,5.0324,-3.07262
4.1251,5.0294,-3.09219
4.0751,5.0275,-3.11282
4.0252,5.0265,-3.13398
3.9752,5.0267,3.12844
3.9252,5.0278,3.10902
3.8752,5.0299,3.09109
3.8253,5.0329,3.07462
3.7755,5.0366,3.05963
3.7257,5.0410,3.04612
3.6760,5.0461,3.03412
3.6263,5.0517,3.02360
3.5767,5.0578,3.01460
3.5271,5.0644,3.00710
3.4776,5.0712,3.00111
3.4281,5.0783,2.99663
3.3787,5.0856,2.99368
3.3292,5.0930,2.99224
3.2798,5.1005,2.99231
3.2303,5.1079,2.99391
3.1809,5.1152,2.99701
3.1314,5.1223,3.00162
3.0819,5.1291,3.00776
3.0323,5.1356,3.01531
2.9827,5.1417,3.02469
2.9330,5.1472,3.03555
2.8833,5.1522,3.04772
2.8335,5.1566,3.06088
2.7836,5.1603,3.07457
2.7337,5.1633,3.08889
2.6838,5.1655,3.10383
2.6338,5.1670,3.11938
2.5838,5.1677,3.13552
2.5338,5.1676,-3.13102
2.4839,5.1667,-3.11393
2.4339,5.1648,-3.09646
2.3840,5.1621,-3.07864
2.3341,5.1586,-3.06051
2.2843,5.1540,-3.04212
2.2346,5.1486,-3.02347
2.1851,5.1423,-3.00462
2.1356,5.1350,-2.98560
2.0863,5.1267,-2.96643
2.0372,5.1175,-2.94708
1.9882,5.1074,-2.92758
1.9395,5.0963,-2.90791
1.8910,5.0842,-2.88805
1.8427,5.0712,-2.86800
1.7947,5.0572,-2.84775
1.7470,5.0423,-2.82728
1.6996,5.0263,-2.80660
1.6526,5.0094,-2.78569
1.6059,4.9915,-2.76453
1.5596,4.9726,-2.74313
1.5138,4.9527,-2.72147
1.4684,4.9318,-2.69952
1.4234,4.9099,-2.67728
1.3790,4.8870,-2.65474
1.3351,4.8631,-2.63188
1.2917,4.8382,-2.60868
1.2490,4.8123,-2.58513
1.2068,4.7854,-2.56121
1.1654,4.7575,-2.53691
1.1246,4.7286,-2.51222
1.0845,4.6987,-2.48710
1.0453,4.6677,-2.46155
1.0068,4.6358,-2.43554
0.9692,4.6029,-2.40906
0.9325,4.5689,-2.38209
0.8967,4.5340,-2.35462
0.8619,4.4981,-2.32661
0.8282,4.4613,-2.29805
0.7955,4.4234,-2.26892
0.7639,4.3847,-2.23919
0.7335,4.3450,-2.20887
0.7044,4.3044,-2.17788
0.6765,4.2629,-2.14632
0.6500,4.2205,-2.11451
0.6248,4.1773,-2.08334
0.6009,4.1334,-2.05260
0.5785,4.0888,-2.02230
0.5573,4.0435,-1.99243
0.5375,3.9975,-1.96295
0.5191,3.9511,-1.93384
0.5020,3.9041,-1.90508
0.4863,3.8566,-1.87666
0.4719,3.8088,-1.84854
0.4589,3.7605,-1.82071
0.4472,3.7119,-1.79316
0.4368,3.6630,-1.76584
0.4278,3.6138,-1.73875
0.4201,3.5644,-1.71187
0.4138,3.5149,-1.68517
0.4087,3.4651,-1.65865
0.4050,3.4153,-1.63228
0.4026,3.3653,-1.60604
0.4015,3.3154,-1.57991
0.4017,3.2654,-1.55388
0.4032,3.2154,-1.52793
0.4059,3.1655,-1.50205
0.4100,3.1157,-1.47620
0.4154,3.0660,-1.45039
0.4220,3.0164,-1.42458
0.4300,2.9671,-1.39876
0.4391,2.9179,-1.37292
0.4496,2.8691,-1.34703
0.4613,2.8205,-1.32110
0.4743,2.7722,-1.29508
0.4885,2.7243,-1.26895
0.5040,2.6767,-1.24271
0.5208,2.6296,-1.21634
0.5387,2.5830,-1.18981
0.5579,2.5368,-1.16310
0.5784,2.4912,-1.13627
0.6000,2.4462,-1.10890
0.6229,2.4017,-1.08269
0.6470,2.3579,-1.05344
0.6723,2.3148,-1.02621
0.6988,2.2724,-0.99850
0.7264,2.2308,-0.97107
0.7552,2.1899,-0.94417
0.7850,2.1498,-0.91776
0.8159,2.1105,-0.89188
0.8478,2.0720,-0.86646
0.8807,2.0343,-0.84153
0.9144,1.9974,-0.81704
0.9491,1.9614,-0.79300
0.9846,1.9262,-0.76938
1.0209,1.8918,-0.74616
1.0580,1.8583,-0.72335
1.0958,1.8256,-0.70091
1.1344,1.7938,-0.67887
1.1736,1.7629,-0.65720
1.2135,1.7328,-0.63590
1.2540,1.7035,-0.61497
1.2952,1.6751,-0.59440
1.3369,1.6475,-0.57421
1.3791,1.6208,-0.55438
1.4219,1.5949,-0.53491
1.4651,1.5698,-0.51582
1.5088,1.5455,-0.49709
1.5530,1.5221,-0.47873
1.5976,1.4995,-0.46074
1.6425,1.4777,-0.44311
1.6879,1.4566,-0.42584
1.7336,1.4364,-0.40893
1.7796,1.4169,-0.39238
1.8260,1.3981,-0.37618
1.8726,1.3801,-0.36031
1.9195,1.3629,-0.34480
1.9667,1.3463,-0.32962
2.0141,1.3305,-0.31476
2.0618,1.3154,-0.30023
2.1096,1.3009,-0.28601
2.1577,1.2872,-0.27212
2.2059,1.2741,-0.25852
2.2543,1.2616,-0.24524
2.3029,1.2498,-0.23226
2.3516,1.2386,-0.21957
2.4005,1.2280,-0.20717
2.4495,1.2180,-0.19507
2.4986,1.2086,-0.18326
2.5478,1.1998,-0.17173
2.5971,1.1915,-0.16050
2.6465,1.1838,-0.14957
2.6959,1.1766,-0.13896
2.7455,1.1699,-0.12866
2.7951,1.1638,-0.11874
2.8447,1.1581,-0.10922
2.8945,1.1529,-0.10009
2.9442,1.1481,-0.09146
2.9940,1.1437,-0.08335
3.0439,1.1398,-0.07574
3.0937,1.1362,-0.06866
3.1436,1.1329,-0.06208
3.1935,1.1299,-0.05601
3.2434,1.1273,-0.05044
3.2934,1.1249,-0.04539
3.3433,1.1227,-0.04084
3.3933,1.1208,-0.03680
3.4432,1.1191,-0.03327
3.4932,1.1175,-0.03029
3.5431,1.1160,-0.02786
3.5931,1.1147,-0.02600
3.6431,1.1134,-0.02473
3.6931,1.1122,-0.02404
3.7430,1.1110,-0.02393
3.7930,1.1098,-0.02440
3.8430,1.1086,-0.02547
3.8930,1.1072,-0.02712
3.9429,1.1058,-0.02933
3.9929,1.1043,-0.03215
4.0429,1.1026,-0.03557
4.0928,1.1007,-0.03958
4.1428,1.0986,-0.04419
4.1927,1.0963,-0.04942
4.2426,1.0937,-0.05524
4.2925,1.0908,-0.06167
4.3424,1.0875,-0.06855
4.3923,1.0839,-0.07650
4.4421,1.0799,-0.08276
4.4919,1.0757,-0.08494
4.5417,1.0715,-0.08369
4.5916,1.0674,-0.07882
4.6414,1.0637,-0.07037
4.6913,1.0604,-0.05834
4.7412,1.0579,-0.04274
4.7912,1.0562,-0.02354
4.8412,1.0556,-0.00077
4.8912,1.0562,0.02558
4.9411,1.0582,0.05556
4.9910,1.0618,0.08914
5.0407,1.0672,0.12647
5.0901,1.0745,0.16725
5.1392,1.0839,0.21293
5.1878,1.0956,0.25837
5.2357,1.1098,0.32326
5.2826,1.1272,0.38102
